Progress,Duration,D1,D2,D2_1,D3,D3_1,D4,D4_1,D5_1,D6,D7,D8,HighSES_1,HighSES_2,HighSES_3,HighSES_4,ATT_1,LowSES_1,LowSES_2,LowSES_3,LowSES_4,ATT_2,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,ATT_3,WG_1,WG_2,WG_3,WG_4,WG_5,ATT_4,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,ATT_5,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,ATT_6,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,ATT_7,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,ATT_8,Condition
100,568,19,2,,1,,5,,4,13,5,2,Those who might be have been laid off to no fault of their own ,those who might be living on the street due to untreated illness or addiction ,those who might be homeless,8,1,,,,,,7,7,7,1,7,7,6,7,1,7,7,2,1,6,1,1,1,1,4,100,65,90,100,100,85,96,80,75,3,3,5,5,3,6,5,4,3,4,2,5,4,4,1,3,4,3,1,1,1,1,7,7,7,6,1,1,1,2,7,7,7,6,5,HighSESManipulation
100,375,22,1,,"1,2,3,4,5,6,7,8",All the above,3,,7,3,4,5,,,,,,President,Billionaires,Land owners (more than 10 acres),5,1,1,1,1,7,1,7,1,1,7,1,1,2,6,5,4,1,4,4,4,100,100,100,100,100,100,100,100,100,3,7,1,7,1,4,1,4,1,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,LowSESManipulation
100,813,19,1,,1,,8,,6,12,2,2,,,,,,Bill Gates,Jeff Bezos,Elon Musk,7,1,1,1,1,7,1,7,1,1,6,1,1,2,3,5,4,1,4,4,4,100,100,100,100,100,100,100,100,100,3,7,1,7,1,4,1,5,1,6,2,4,1,5,2,4,3,3,1,4,4,1,4,1,4,7,7,2,6,7,4,2,4,1,5,LowSESManipulation
100,503,19,2,,1,,5,,2,12,4,6,homeless,minimum wage jobs ,single parents ,4,1,,,,,,7,7,7,1,5,7,7,7,1,7,7,2,1,7,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,5,5,7,1,7,6,7,2,6,4,6,4,6,2,5,4,3,4,1,1,1,6,7,6,2,1,6,1,1,6,6,7,7,5,HighSESManipulation
100,11432,19,1,,1,,13,"non religious, probs closer to agnostic",3,8,5,7,Low socioeconomic status households,non educated families,Fast food workers,5,1,,,,,,7,7,5,1,3,7,3,3,3,5,5,2,1,7,1,2,2,2,4,100,100,100,100,100,100,100,100,100,3,5,3,3,3,4,3,3,4,5,4,5,4,5,4,4,4,3,3,5,5,2,6,6,5,5,2,5,3,3,3,7,6,5,5,HighSESManipulation
100,627,20,1,,1,,5,,2,11,5,6,,,,,,Billionaires,Government Officials,Doctors,3,1,6,7,6,1,6,7,6,6,2,6,6,2,2,5,2,2,1,1,4,70,70,60,39,90,75,75,85,80,3,3,5,3,4,4,5,2,4,4,2,5,4,2,3,3,6,3,1,1,2,1,6,6,6,6,2,4,2,4,5,2,5,5,5,LowSESManipulation
100,397,19,2,,1,,8,,5,7,3,3,,,,,,Christian,Doctors ,Community officials ,5,1,3,3,6,6,4,7,5,5,2,5,5,2,1,7,1,1,1,1,4,75,83,65,97,82,11,12,12,,3,5,3,5,3,3,5,4,4,4,3,3,4,5,3,4,3,3,4,3,3,3,6,6,6,6,4,5,3,3,5,5,5,5,5,LowSESManipulation
100,977,18,2,,1,,13,Greek Orthodox,4,8,6,7,Families living in poverty,People addicted to drugs and living on the streets,"Being unable to afford the proper amount of food, leading to malnutrition ",7,1,,,,,,6,6,5,4,4,7,1,6,1,4,5,2,2,7,1,1,1,6,4,100,100,98,100,100,99,100,100,100,3,5,5,5,5,7,1,7,2,7,1,6,1,7,1,7,2,3,6,6,6,4,6,5,3,5,1,1,2,2,7,5,6,4,5,HighSESManipulation
100,702,19,1,,1,,8,,5,12,5,2,people in not modernized areas,people in Africa,People who are single parents ,6,1,,,,,,5,4,3,5,3,7,4,4,6,5,4,6,2,6,4,4,3,3,4,100,100,100,100,100,61,100,54,61,3,6,5,7,4,4,4,3,4,4,3,5,3,4,4,3,3,3,4,4,4,1,6,4,6,2,3,4,3,4,6,7,4,4,5,HighSESManipulation
100,736,20,2,,1,,3,,7,12,5,7,,,,,,business owners,doctors,politicians,7,1,5,5,5,3,5,7,5,6,2,6,6,2,2,6,3,2,2,3,4,100,100,100,100,100,100,100,100,100,3,5,3,4,3,5,3,5,4,5,5,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,LowSESManipulation
100,1063,18,1,,2,,5,,4,12,6,5,,,,,,celebritys ,surgeons ,doctors ,6,1,,,,,,,,,,,,,1,7,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,4,7,7,7,7,1,4,1,7,6,7,1,4,1,7,6,3,1,1,1,2,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,545,20,2,,2,,3,,4,12,5,3,no education,no trade,no motivation/drive,7,1,,,,,,,,,,,,,,,,,,1,1,7,1,1,1,4,95,50,50,70,50,50,50,50,50,3,3,6,2,5,4,1,2,1,7,6,6,2,3,1,7,5,3,1,1,2,1,7,5,7,3,1,1,7,1,7,7,7,7,5,HighSESManipulation
6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,726,19,1,,2,,8,,3,12,6,6,People with an absence of a high school education or diploma. ,People who were raised in a single parent household.,Minorities born into poverty. ,8,1,,,,,,,,,,,,,,,,,,1,7,1,1,1,1,4,100,70,100,100,100,100,90,100,100,3,2,7,4,6,7,1,3,2,7,6,7,1,3,1,7,5,3,1,1,3,1,7,7,7,7,1,1,1,2,7,7,7,7,5,HighSESManipulation
100,325,19,2,,1,,2,,2,12,5,2,,,,,,doctors,celebrities ,lawyers ,5,1,7,7,7,1,7,7,7,7,1,7,7,2,1,3,1,1,1,1,4,100,80,90,46,63,100,100,91,83,3,2,6,6,6,6,2,4,4,4,4,2,2,5,4,5,3,2,1,1,1,1,1,7,6,6,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,155,19,2,,1,,8,,6,2,7,2,Poor,Young adults ,Homeless ,6,1,,,,,,5,6,6,4,5,5,4,5,3,4,5,5,4,5,6,5,4,5,5,32,77,19,56,35,60,56,33,11,3,4,6,6,6,6,5,5,5,4,6,4,5,5,5,4,5,5,3,3,3,5,2,5,4,3,3,5,3,4,5,3,4,4,5,HighSESManipulation
100,1567,18,2,,1,,12,,5,12,4,4,,,,,,People in CEO positions ,Government Officials ,Celebrities ,6,1,6,6,6,2,2,7,5,5,1,5,7,2,1,7,1,1,1,1,4,100,95,100,83,100,100,100,100,100,3,6,3,5,2,7,5,3,1,4,4,4,4,6,2,4,4,3,2,4,2,6,6,7,7,4,3,2,2,4,7,4,7,4,5,LowSESManipulation
100,445,19,2,,1,,12,,5,8,6,3,the under class,those who did not graduate high school ,people who are not living stable,4,1,,,,,,7,4,7,1,1,7,6,7,1,7,7,2,1,1,1,1,1,1,4,100,100,100,91,100,100,100,100,86,3,7,1,7,1,4,5,6,2,3,4,3,4,6,4,2,4,3,1,1,1,4,4,7,1,4,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,753,19,2,,1,,13,Unitarian Universalist,2,9,7,6,,,,,,The 1%,CEOs,People with few morals and good ideas,4,1,7,7,6,1,4,7,7,7,1,7,7,2,1,7,1,1,1,1,4,100,53,100,64,100,100,32,100,100,3,6,1,7,1,4,5,3,3,3,6,4,6,3,3,3,2,3,1,1,1,1,7,7,7,7,1,1,1,5,7,7,7,7,5,LowSESManipulation
100,1113,19,1,,1,,,,5,7,2,2,,,,,,Congress members,Professional sport players,World famous singers,5,1,2,1,2,5,1,7,1,1,7,1,1,2,3,5,5,1,5,1,4,50,50,50,50,50,50,50,50,50,3,7,4,7,3,6,1,6,1,4,4,7,1,4,1,7,4,3,5,5,6,5,4,7,7,7,6,5,6,6,7,4,6,2,5,LowSESManipulation
100,494,19,2,,1,,11,,2,9,3,1,Homeless people,garbage men,illegal immigrants,4,1,,,,,,7,7,6,1,6,7,1,3,2,3,1,2,1,6,1,1,4,1,4,100,100,100,100,100,100,90,96,100,3,7,5,7,2,6,6,7,2,7,1,7,4,7,1,6,1,3,1,1,5,5,7,7,7,7,1,1,1,2,7,7,7,7,5,HighSESManipulation
100,566,19,2,,1,,5,,3,9,3,2,People who have dropped out of high school.,People who are homeless.,People who are drug addicts.,8,1,,,,,,7,7,7,1,7,7,7,7,1,6,6,2,1,7,1,1,1,4,4,100,100,100,100,100,100,100,100,100,3,4,4,4,4,6,5,6,3,5,3,4,4,5,3,4,4,3,1,1,1,1,7,7,7,4,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,473,23,1,,1,,11,,3,9,5,6,,,,,,doctors,lawyers,famous people,4,1,7,7,7,1,5,7,2,6,1,6,6,6,1,7,1,1,1,1,4,100,68,100,46,72,78,77,78,54,3,3,1,7,1,6,2,2,2,4,3,6,4,5,1,5,3,3,4,1,4,2,7,7,7,7,1,2,2,2,7,7,7,7,5,LowSESManipulation
6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,798,19,1,,2,,8,,7,8,3,3,Homeless People,Drug Addicts,People who work very small jobs,6,1,,,,,,,,,,,,,,,,,,2,7,1,1,1,2,4,100,100,100,100,100,100,100,100,100,3,7,2,7,2,4,1,6,2,7,2,6,1,6,1,7,2,3,1,1,1,1,4,7,7,7,1,1,1,1,7,6,7,7,5,HighSESManipulation
100,536,19,1,,1,,5,,6,11,3,6,,,,,,Ceos,Big business owners,Bill gates,4,1,5,5,5,3,4,7,5,5,3,5,4,2,3,5,5,3,5,3,4,92,92,92,92,92,92,92,92,92,3,6,3,5,3,6,2,6,4,5,3,5,3,5,3,5,3,3,3,2,5,1,6,6,6,6,2,3,2,2,6,5,6,6,5,LowSESManipulation
53,50,18,2,,1,,8,,4,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
100,410,21,2,,1,,6,,2,7,5,5,,,,,,Wealthy,Political figures,Celebrities ,5,1,7,7,6,1,6,7,6,7,1,7,7,2,1,7,1,1,1,1,4,96,60,80,50,85,96,97,83,83,3,5,3,5,4,7,5,4,2,4,4,7,4,2,1,2,4,3,1,1,2,1,7,7,7,6,1,1,1,7,7,7,7,7,5,LowSESManipulation
100,437,19,2,,1,,3,,9,10,4,3,homeless,unemployed,no education ,7,1,,,,,,3,3,4,5,4,7,4,5,3,3,4,2,5,5,5,4,4,3,4,100,100,100,100,100,100,100,100,100,3,5,5,6,4,5,2,5,2,7,4,6,2,7,3,6,5,3,4,3,1,1,7,7,7,5,1,1,1,1,7,7,7,7,5,HighSESManipulation
53,69,,2,,1,,3,,5,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
100,1056,21,1,,1,,5,,3,11,6,5,,,,,,Jeff Bezos,Bill Gates,Elon Musk,5,1,7,6,7,1,6,7,5,5,3,3,6,2,2,3,2,2,1,2,4,81,80,75,83,82,75,84,81,74,3,6,3,3,5,4,3,6,3,7,4,5,3,6,3,6,5,3,2,2,5,2,5,6,6,6,2,2,2,6,7,6,6,5,5,LowSESManipulation
100,322,20,2,,7,,7,,2,13,6,5,homeless individuals,people living in poverty,non highschool graduates,5,1,,,,,,,,,,,,,,,,,,1,7,1,1,1,1,4,100,39,100,39,100,100,89,100,100,3,1,7,2,7,7,2,2,3,6,3,3,2,7,2,6,5,3,1,1,1,1,7,7,7,7,7,1,1,1,7,7,7,7,5,HighSESManipulation
100,1103,22,1,,1,,3,,6,13,4,4,,,,,,Politians ,Business people,celebrities,5,1,6,5,4,1,4,7,1,1,7,1,7,6,1,6,1,1,4,1,4,60,45,50,60,60,50,50,30,10,3,7,5,7,2,6,1,3,3,4,4,4,1,5,1,4,5,3,1,1,1,1,7,7,7,7,1,1,7,2,7,7,7,7,5,LowSESManipulation
100,475,19,2,,1,,12,,5,13,6,5,,,,,,Business ,Hard Working,Educated ,7,1,1,1,1,7,1,7,1,2,4,5,1,2,7,4,3,1,1,1,4,100,100,100,100,100,50,100,100,30,3,7,4,6,1,6,1,2,1,7,4,7,1,2,1,7,4,3,1,1,1,1,7,7,7,7,1,1,1,2,7,6,7,7,5,LowSESManipulation
100,327,19,2,,1,,8,,4,9,3,1,Homeless,Minumum wage workers,high school dropouts,5,1,,,,,,6,7,6,1,6,7,6,7,1,6,6,2,1,7,3,2,1,1,4,100,100,100,100,100,100,100,82,81,3,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,3,3,2,5,7,7,6,1,1,2,2,7,7,7,7,5,HighSESManipulation
100,1450,26,2,,1,,13,None,5,9,3,2,Non citizen immigrants,Hispanic Americans,African American,4,1,,,,,,7,6,6,1,3,5,5,6,2,5,6,2,1,7,1,1,1,1,4,100,100,80,50,80,100,100,100,100,3,7,1,7,1,4,4,3,4,5,4,4,5,5,5,5,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,1007,19,2,,7,,4,,5,3,2,2,,,,,,Royal families ,People who own companies ,celebrities,8,1,,,,,,,,,,,,,2,2,2,1,1,1,4,81,82,100,89,84,0,0,85,0,3,4,4,3,4,6,1,6,3,5,4,4,3,3,3,6,5,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,548,21,2,,1,,1,,5,9,5,3,,,,,,"Straight, White, Males. Disclaimer: I do not agree with this, but this is how society is right now","Straight, White, Women","LGBTQ, White, Men and Women ",9,1,7,6,6,1,4,7,6,6,1,5,5,2,1,1,1,1,1,1,4,81,81,81,81,81,81,81,81,81,3,6,6,6,4,7,2,4,1,5,1,7,1,5,1,5,1,3,1,1,1,1,6,7,7,7,1,4,1,1,7,7,7,7,5,LowSESManipulation
100,567,19,2,,1,,5,,5,12,5,6,poor people,criminals ,addicts to drugs or alcohol,9,1,,,,,,6,4,6,3,4,7,4,6,2,6,7,6,4,6,2,1,4,5,4,60,70,52,81,52,70,43,42,43,3,7,4,6,5,5,2,7,1,7,4,6,2,6,2,6,2,3,5,3,2,5,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,523,19,1,,1,,6,,4,11,4,5,Homeless people ,Low income people ,Disabled ,5,1,,,,,,4,4,4,4,4,7,4,4,4,5,4,2,2,5,4,4,4,4,4,100,100,100,100,100,100,100,100,100,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,1,1,1,4,7,6,6,2,2,2,4,7,7,6,7,5,HighSESManipulation
100,603,18,1,,1,,8,,3,5,3,3,,,,,,Doctors,Good Lawyers,Politicians,3,1,6,7,6,2,2,7,4,4,4,4,4,2,1,7,1,1,1,1,4,100,82,100,100,100,100,100,100,100,3,6,2,6,1,5,2,4,1,4,3,4,2,5,2,4,3,3,1,1,1,1,1,7,7,7,1,1,1,1,7,7,7,6,5,LowSESManipulation
100,323,20,2,,1,,8,,5,13,5,5,,,,,,,,,5,1,6,6,6,2,4,7,4,7,1,3,4,2,1,5,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,LowSESManipulation
100,515,18,2,,1,,3,,2,12,3,3,Those who are homeless,People who can’t afford to eat everyday,Those who don’t have the money to get water ,6,1,,,,,,6,6,6,2,4,7,6,7,1,6,7,2,1,4,1,1,1,1,4,100,86,100,100,100,100,100,100,100,3,4,3,6,4,5,5,2,2,4,3,3,5,5,4,4,3,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,352,20,1,,1,,3,,,12,6,3,People in Prison,Minority populations that deal with racism and harassment,Field Laborers being paid less than minimum wage under terrible conditions.,7,1,,,,,,7,7,7,1,7,7,5,6,2,6,5,2,1,7,1,1,2,1,4,100,96,100,100,100,100,100,100,51,3,2,2,5,4,4,3,4,4,4,4,5,3,4,2,4,4,3,1,1,2,1,7,7,7,4,1,1,1,1,7,7,7,7,5,HighSESManipulation
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,496,18,1,,"1,3,4",,5,,7,5,3,5,,,,,,Politicians,Jeff Bezos ,Ted Turner,3,1,5,3,3,5,2,7,2,3,4,2,3,2,1,6,2,1,2,2,4,82,81,71,81,82,78,80,75,76,3,7,1,6,2,4,1,4,4,5,5,4,2,6,2,5,2,2,2,2,2,2,6,7,6,5,2,3,3,2,6,6,5,5,5,LowSESManipulation
100,376,20,1,,"1,7",,5,,3,12,6,3,,,,,,CEOs,Celebrities,Stock Brokers,8,1,7,7,7,1,5,7,5,7,1,4,5,2,1,6,1,1,1,5,4,100,100,100,100,100,100,100,100,100,3,4,4,6,6,4,4,7,6,6,7,6,5,7,7,6,7,3,4,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,356,22,2,,1,,8,,7,12,3,5,Less than high school level education,No college degree,Teen mom/single parent,6,1,,,,,,6,6,6,2,4,7,5,5,2,3,5,2,1,6,4,4,4,4,4,93,89,57,84,84,66,88,77,80,3,4,3,4,5,5,5,5,5,5,3,3,3,5,4,5,4,3,4,2,4,5,4,6,5,5,3,3,3,3,4,4,5,5,5,HighSESManipulation
100,559,19,2,,1,,11,,3,12,3,3,homeless,disabled ,elderly ,7,1,,,,,,7,7,7,1,7,7,6,6,1,6,7,2,1,7,1,1,1,2,4,95,50,60,5,100,100,50,70,70,3,6,4,7,2,4,3,6,4,6,1,4,2,7,4,5,2,3,1,1,1,1,7,7,7,6,1,1,1,2,7,7,7,7,5,HighSESManipulation
100,335,21,1,,6,,7,,5,6,7,7,,,,,,CEO,lawyer大,politician,5,1,,,,,,,,,,,,,2,4,5,3,4,4,4,60,70,62,72,88,47,90,45,99,3,2,6,2,5,5,2,4,2,3,5,2,2,5,2,5,3,3,4,5,6,6,4,6,7,4,4,2,2,4,5,3,4,4,5,LowSESManipulation
53,91,19,2,,2,,6,,1,10,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
100,309,20,1,,"1,7",,5,,,12,6,3,People below the poverty line in the USA,People in developing countries,People who are homeless and battling mental issues,8,1,,,,,,7,7,7,1,6,7,6,5,4,4,6,2,1,7,1,1,1,3,4,100,100,100,100,100,100,100,100,100,3,5,4,4,4,5,4,5,4,4,5,5,5,5,4,5,4,3,5,3,4,4,4,5,7,6,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,752,20,2,,1,,13,Pagan,2,12,5,5,Refugees,Children in Poverty,Mentally Ill Homeless,7,1,,,,,,6,6,7,2,5,7,7,7,1,6,6,2,1,7,2,1,1,1,4,94,76,70,26,100,100,90,100,95,3,3,2,3,2,4,5,6,6,5,3,2,7,6,5,2,6,3,2,2,2,2,7,7,7,7,1,2,2,3,7,7,6,7,5,HighSESManipulation
100,654,20,1,,1,,5,,4,11,3,5,,,,,,Billionaire class,Political Elite,Celebrities,6,1,6,6,5,3,4,7,2,3,5,2,3,2,1,7,2,2,3,3,4,80,80,75,70,80,75,75,80,75,3,3,4,4,4,6,2,4,2,5,3,5,4,5,2,4,4,3,1,2,3,1,6,4,7,6,1,1,2,4,7,7,7,6,5,LowSESManipulation
100,750,20,2,,1,,7,,2,10,3,7,,,,,,Jeff Bezos,Bill Gates,Elon Musk,3,1,7,7,7,1,6,7,5,7,1,6,7,2,1,7,1,1,1,1,4,80,10,80,10,70,80,45,80,80,3,7,2,6,2,4,1,7,1,5,3,2,6,6,3,3,2,3,1,1,1,1,7,7,7,7,1,1,7,2,7,7,7,7,5,LowSESManipulation
100,668,18,2,,1,,8,,4,11,2,3,Homeless people,People living in homeless shelter,Living in their cars,6,1,,,,,,3,3,3,4,1,7,2,4,4,4,4,2,1,2,2,1,1,1,4,100,100,100,100,100,100,100,100,100,3,6,2,6,2,2,2,4,2,4,4,4,2,7,2,6,2,3,4,2,5,3,5,6,6,3,6,3,3,3,6,4,6,6,5,HighSESManipulation
100,480,18,1,,2,,8,,5,12,7,7,,,,,,President ,Rappers ,Pro sports players,5,1,,,,,,,,,,,,,1,1,1,1,1,1,4,100,100,100,100,100,0,,,,3,4,7,1,7,7,1,2,1,7,7,7,1,4,1,7,4,3,4,4,4,7,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,698,20,2,,"1,2",,8,,3,9,3,5,Homeless,Sex workers ,Pick pockets ,4,1,,,,,,6,2,5,1,7,7,3,7,7,5,4,2,1,6,2,2,2,1,4,90,50,50,80,50,65,50,50,40,3,2,6,3,6,6,2,2,2,6,7,6,2,2,3,6,7,3,4,3,3,4,5,7,7,6,5,5,3,2,6,7,7,7,5,HighSESManipulation
53,29,20,2,,1,,8,,5,13,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
84,636,46,2,,1,,5,,3,7,7,5,,,,,,Business  leaders,Non-denominational christian leaders,Actors,5,1,7,5,5,2,6,7,1,1,4,1,4,2,2,3,2,1,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
100,1022,19,2,,1,,8,,6,12,5,5,The very bottom of this latter would consist of the unemployed. ,The lower end of this level would be people who have yet to receive their high school diplomas ,The bottom of this latter would consist of criminals. ,4,3,,,,,,4,3,4,4,4,7,1,4,4,4,4,2,1,6,3,1,4,1,4,100,100,100,100,100,100,100,60,50,3,7,1,7,1,6,4,4,4,4,3,5,4,3,4,4,5,3,1,1,5,1,4,5,4,5,2,4,4,5,7,5,5,4,5,HighSESManipulation
100,399,22,2,,1,,8,,7,12,3,5,,,,,,Politicians,actors,business men,6,1,6,6,6,3,5,7,6,6,2,5,6,2,2,6,4,2,4,5,4,72,72,37,75,75,58,78,42,37,3,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,3,4,5,5,5,3,4,4,4,4,4,5,4,4,4,4,5,5,LowSESManipulation
100,326,19,1,,1,,7,,4,12,5,5,,,,,,"Tech company CEOS; Zuckerburg, Bezos, etc.","Stock company CEOs: Musk, Tim Cook, Bezos, etc",Extreme Wealth: Families of generational wealth (secret wealth) typically out in the middle east (oil families) ,4,1,7,7,7,1,3,7,7,7,1,7,7,2,1,7,1,1,1,1,4,100,100,100,43,45,100,100,100,100,3,7,1,7,1,7,5,1,1,4,4,4,4,4,1,3,4,3,1,1,1,1,1,7,7,7,1,7,1,3,7,7,7,7,5,LowSESManipulation
100,6984,20,1,,1,,11,,5,11,7,6,Low income families ,Foster Care Children,Inner City families,7,1,,,,,,4,5,5,4,4,7,2,5,3,5,5,2,5,5,3,3,3,3,4,43,68,46,59,42,73,41,63,64,3,7,1,7,1,7,1,4,2,7,5,7,1,4,1,7,3,3,1,2,2,1,7,7,7,7,2,4,4,5,5,5,5,5,5,HighSESManipulation
100,1016,21,2,,1,,5,,6,2,3,3,,,,,,Doctors ,Engineers ,Politicians ,3,1,1,1,1,7,1,7,1,1,5,1,1,2,3,5,1,1,1,1,4,100,100,100,100,100,100,100,100,100,3,6,1,6,1,7,1,1,1,3,1,7,1,3,1,7,3,3,1,1,1,1,7,7,7,1,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,411,19,2,,1,,3,,1,13,6,7,minorities,blue collar workers,homeless,5,1,,,,,,6,6,6,2,5,7,6,6,2,6,6,2,1,7,1,1,1,2,4,65,56,65,66,67,68,68,70,68,3,5,3,6,3,3,6,6,5,5,3,3,3,5,4,3,5,3,2,2,2,2,6,6,6,6,2,2,2,2,6,2,6,6,5,HighSESManipulation
100,387,21,2,,1,,8,,6,12,2,2,,,,,,,,,6,1,6,6,5,2,5,7,5,5,1,4,5,2,2,2,2,1,4,4,4,100,100,100,100,100,100,100,100,100,3,6,5,4,4,4,5,4,4,5,5,4,4,4,4,4,4,3,4,1,2,1,7,7,7,4,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,854,19,1,,1,,7,,2,12,5,5,homeless people,undocumented immigrants,people in prison,7,1,,,,,,7,7,7,1,7,7,5,6,3,5,5,2,1,6,1,1,1,1,4,100,90,100,70,100,100,100,100,100,3,3,4,4,4,4,3,5,4,4,3,4,2,6,4,4,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,HighSESManipulation
100,685,18,1,,2,,3,,3,5,3,3,,,,,,The Wealthy,Politicians ,Business Owners,2,1,,,,,,,,,,,,,1,7,1,1,1,1,4,100,95,90,80,80,100,80,80,80,3,2,7,3,7,7,1,4,2,7,4,7,1,6,2,7,1,3,1,2,4,2,1,1,6,6,6,5,6,4,5,2,7,4,5,LowSESManipulation
53,339,18,2,,1,,6,,2,12,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
100,843,42,2,,1,,8,,2,4,6,3,mcdonald's employee,people on welfare,unemployed,6,1,,,,,,7,5,6,2,5,7,5,5,3,5,5,2,2,6,2,2,2,2,4,81,82,56,70,79,83,83,83,83,1,5,5,5,5,5,5,5,3,5,4,5,3,5,3,5,3,3,2,2,2,2,5,6,6,5,2,2,5,2,7,7,7,7,5,HighSESManipulation
100,806,20,2,,1,,3,,3,12,6,3,,,,,,Kim Kardashian,Bill Gates,Mark Zuckerburg,4,1,7,7,7,1,7,7,4,7,1,4,4,2,1,7,1,1,1,1,4,80,81,80,80,80,80,80,80,80,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,7,7,7,7,1,1,1,1,7,7,7,7,5,LowSESManipulation
100,711,19,2,,1,,12,,3,7,4,3,,,,,,CEO's,Hedge fund managers,Celebrities,4,1,6,5,5,4,4,7,6,6,2,5,5,2,3,6,4,1,3,5,4,100,100,100,100,100,100,100,100,100,3,7,4,7,4,4,4,3,4,5,3,4,4,3,4,4,4,3,1,1,5,1,7,5,6,4,2,2,3,3,6,6,5,6,5,LowSESManipulation
100,549,19,2,,1,,11,,4,11,3,4,minorities ,possibly people with mental illness,poor people,7,1,,,,,,7,7,7,2,6,7,7,7,1,6,6,6,1,7,1,1,4,2,4,85,80,60,45,70,75,75,50,50,3,5,3,5,3,5,3,4,5,6,4,4,4,5,5,3,4,3,3,3,3,3,6,6,6,6,2,6,2,2,6,6,6,7,5,HighSESManipulation
100,480,18,2,,1,,1,,5,13,5,6,homeless,kids with no families ,low lower class ,6,1,,,,,,4,4,3,4,6,7,3,4,4,4,3,2,3,4,5,3,5,3,4,85,86,72,95,95,95,95,84,85,3,4,5,5,5,5,5,5,4,5,5,4,5,4,5,3,4,3,3,4,3,5,5,4,4,4,5,4,4,4,5,4,4,3,5,HighSESManipulation
