StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,C1,D1,D2,D2_7_TEXT,D3,D3_8_TEXT,D4,D4_13_TEXT,D5_1,D6,D7,D8,Q37,Q36,Q35,Q26_1,Q38,Q32,Q33,Q34,Q29_1,Q39,WPS_1,WPS_2,WPS_3,WPS_4,WPS_5,WPS_6,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,MRS_1,MRS_2,MRS_3,MRS_4,MRS_5,MRS_6,MRS_7,RGP_1,RGP_2,RGP_3,RGP_4,RGP_5,RGP_6,RGP_7,RGP_8,RGP_9,Q40,CSER_1,CSER_2,CSER_3,CSER_4,CSER_5,CSER_6,CSER_7,CSER_8,CSER_9,CSER_10,CSER_11,CSER_12,CSER_13,CSER_14,CSER_15,CSER_16,CSER_17,SDO_1,SDO_2,SDO_3,SDO_4,SDO_5,SDO_6,SDO_7,SDO_8,SDO_9,SDO_10,SDO_11,SDO_12,SDO_13,SDO_14,SDO_15,SDO_16,SDO_17,FL_29_DO
2021-09-06 07:55:37,2021-09-06 07:56:21,IP Address,76.181.171.231,53,43,False,2021-09-13 07:56:21,R_20YhcZto2RzQm6s,,,,,,,anonymous,EN,Yes,27,Female,,White,,Prefer Not To Answer,,Neutral,"$70,000 to $79,999",Bachelor's Degree,Bachelor's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
2021-09-13 10:04:21,2021-09-13 10:19:16,IP Address,132.235.96.7,100,895,True,2021-09-13 10:19:17,R_1JIRnLBk5pjPpWf,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,19,Male,,White,,Atheist,,Slight Liberal,"$100,000 to $149,999",Bachelor's Degree,Bachelor's Degree,,,,,,people who have second homes,millionares,trust fund kids + adults,7,A,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Moderately Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,80,66,78,90,86,68,86,76,75,C,Moderately Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Neutral,Slightly Disagree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Slightly Disagree,Somewhat Oppose,Somewhat Oppose,Slightly Oppose,Strongly Oppose,Somewhat Favor,Strongly Favor,Somewhat Favor,Strongly Favor,Somewhat Oppose,Somewhat Favor,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,LowSESManipulation
2021-09-13 11:00:32,2021-09-13 11:07:26,IP Address,107.77.195.4,100,414,True,2021-09-13 11:07:27,R_AmrQICwbjTfLA8p,,,,,42.3887939453125,-83.1894989013671875,anonymous,EN,Yes,19,Female,,White,,Catholic,,Slight Liberal,"$150,000 or more",Bachelor's Degree,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.)",homeless,"drug addicts ","unemployed ",6,A,,,,,,Slightly Agree,Slightly Agree,Neutral,Slightly Disagree,Moderately Disagree,Strongly Agree,Slightly Agree,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,71,81,C,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Moderately Disagree,Slightly Disagree,Slightly Agree,Neutral,Neutral,Slightly Agree,Neutral,Moderately Agree,Strongly Disagree,Neutral,Moderately Disagree,Strongly Disagree,Neutral,Strongly Oppose,Strongly Oppose,Neutral,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-09-13 11:30:32,2021-09-13 11:40:56,IP Address,192.182.190.104,100,624,True,2021-09-13 11:40:56,R_2wdCcPXznlvsRx8,,,,,39.62139892578125,-82.75980377197265625,anonymous,EN,Yes,20,Male,,White,,Other Christian,,Moderate Conservative,"$40,000 to $49,999",Associate's Degree,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.)",Homeless,Mcdonald's,Walmart,4,A,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Moderately Disagree,Neutral,Neutral,Strongly Disagree,Moderately Disagree,,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Neutral,Neutral,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Favor,HighSESManipulation
2021-09-13 12:42:10,2021-09-13 12:47:12,IP Address,132.235.96.7,100,302,True,2021-09-13 12:47:12,R_3q9SD4hzIYGaOdX,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,18,Female,,Hispanic/Latino,,Atheist,,Moderate Liberal,"$80,000 to $89,999",Master's Degree,Bachelor's Degree,,,,,,lawyers,doctors/workers high up in the medical field,politicians,5,A,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,75,100,100,100,100,100,C,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Slightly Disagree,Moderately Disagree,Strongly Disagree,Slightly Agree,Moderately Agree,Moderately Agree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Moderately Agree,Slightly Disagree,Slightly Favor,Strongly Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Somewhat Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-09-13 14:37:43,2021-09-13 14:54:41,IP Address,64.247.124.1,100,1017,True,2021-09-13 14:54:42,R_3GdBoEKRfDJ0AmQ,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,18,Female,,White,,Agnostic,,Moderate Liberal,"$60,000 to $69,999",Bachelor's Degree,Bachelor's Degree,,,,,,government officials,celebrities,ceos,5,A,Moderately Agree,Slightly Agree,Neutral,Moderately Disagree,Neutral,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,50,50,50,20,50,50,50,50,50,C,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Slightly Disagree,Neutral,Slightly Disagree,Neutral,Neutral,Neutral,Slightly Agree,Slightly Disagree,Neutral,Neutral,Slightly Disagree,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Neutral,Somewhat Favor,Strongly Favor,Slightly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Somewhat Oppose,Neutral,Somewhat Favor,Neutral,Somewhat Favor,Slightly Favor,LowSESManipulation
2021-09-13 14:26:01,2021-09-13 14:55:21,IP Address,99.93.72.51,100,1760,True,2021-09-13 14:55:21,R_RDEHeBuE0TSqH0l,,,,,41.018798828125,-81.617401123046875,anonymous,EN,Yes,19,Prefer Not To Answer,,White,,Prefer Not To Answer,,Neutral,"$20,000 to $29,999",High School Diploma,High School Diploma,High-school dropouts,Broke people (no money),In poverty,4,A,,,,,,Neutral,Neutral,Neutral,Moderately Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Moderately Disagree,Slightly Disagree,Slightly Agree,Neutral,Slightly Disagree,Moderately Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Moderately Agree,Moderately Disagree,Neutral,Strongly Disagree,Moderately Agree,Slightly Disagree,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Somewhat Favor,Strongly Favor,Neutral,Strongly Oppose,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-09-13 16:55:14,2021-09-13 17:24:41,IP Address,64.247.124.1,100,1766,True,2021-09-13 17:24:42,R_x0mL1BTulIAXHHP,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,18,Female,,White,,Protestant Christian,,Moderate Conservative,"$150,000 or more",Master's Degree,Associate's Degree,The lower class,People in poverty,Mechanics,7,A,,,,,,Slightly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Moderately Agree,Moderately Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Neutral,70,70,51,100,50,100,50,0,0,C,Strongly Agree,Slightly Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Slightly Disagree,Neutral,Somewhat Oppose,Somewhat Oppose,Neutral,Strongly Favor,Strongly Favor,Somewhat Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-09-06 17:54:24,2021-09-06 17:54:29,IP Address,24.210.22.217,6,4,False,2021-09-13 17:54:30,R_1oGTH0kETWKIMXs,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-14 13:49:06,2021-09-14 14:12:49,IP Address,174.207.197.165,100,1422,True,2021-09-14 14:12:49,R_2pWEfMm836lNqWs,,,,,39.837799072265625,-84.1110992431640625,anonymous,EN,Yes,18,Female,,White,,,,Strong Conservative,"$40,000 to $49,999",Some College,Associate's Degree,,,,,,president,doctors,famous people,6,A,Moderately Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Neutral,Slightly Disagree,Slightly Disagree,Neutral,Neutral,100,100,100,100,95,100,100,80,80,C,Moderately Agree,Slightly Agree,Moderately Agree,Slightly Agree,Neutral,Neutral,Neutral,Neutral,Slightly Agree,Slightly Disagree,Neutral,Neutral,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Neutral,Slightly Oppose,Somewhat Oppose,Neutral,Slightly Favor,Slightly Favor,Slightly Favor,Slightly Favor,Somewhat Oppose,Neutral,Somewhat Oppose,Somewhat Oppose,Somewhat Favor,Somewhat Favor,Somewhat Favor,Somewhat Favor,Slightly Favor,LowSESManipulation
2021-09-14 19:43:48,2021-09-14 19:53:05,IP Address,24.154.129.198,100,556,True,2021-09-14 19:53:05,R_2wjM6Zo45XXSoDX,,,,,38.4530029296875,-82.44730377197265625,anonymous,EN,Yes,18,Female,,White,,Protestant Christian,,Slight Conservative,"$40,000 to $49,999",Bachelor's Degree,Some College,homeless,less fortunate,no education,8,A,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Neutral,100,100,100,100,100,100,100,100,100,C,Neutral,Neutral,Slightly Disagree,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Slightly Disagree,Strongly Oppose,Somewhat Oppose,Somewhat Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-09-15 10:50:22,2021-09-15 10:58:15,IP Address,64.247.124.1,100,473,True,2021-09-15 10:58:16,R_2dhcKwdUtE4pbW5,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,19,Female,,White,,Other Christian,,Moderate Liberal,"$70,000 to $79,999",Bachelor's Degree,Bachelor's Degree,,,,,,"People who volunteer without initiation ",musicians,those who strive for positive change,6,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,87,95,52,89,100,68,100,100,C,Slightly Agree,Moderately Agree,Moderately Disagree,Slightly Agree,Slightly Agree,Neutral,Moderately Agree,Strongly Agree,Moderately Agree,Neutral,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Agree,Strongly Disagree,Slightly Disagree,Slightly Favor,Slightly Oppose,Somewhat Favor,Somewhat Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Slightly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-09-15 17:03:05,2021-09-15 17:12:55,IP Address,24.210.18.222,100,590,True,2021-09-15 17:12:56,R_T11n6UEwE0C6yrL,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,21,Female,,White,,Catholic,,Moderate Liberal,"$10,000 to $19,999",High School Diploma,Bachelor's Degree,,,,,,"President ",Celebrities,Millionaires,3,A,Strongly Agree,Slightly Agree,Slightly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Slightly Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,49,100,100,100,100,100,C,Moderately Agree,Neutral,Slightly Agree,Neutral,Neutral,Moderately Disagree,Neutral,Moderately Disagree,Slightly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-09-15 19:07:47,2021-09-15 19:18:02,IP Address,132.235.96.2,100,614,True,2021-09-15 19:18:02,R_UPF95pa13VBnHoZ,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,18,Non-Binary,,White,,Atheist,,Extreme Liberal,"$40,000 to $49,999",High School Diploma,High School Diploma,Homeless individuals,POC trans women,Indigenous women,9,A,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,50,50,50,20,50,80,0,100,100,C,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Neutral,Strongly Disagree,Strongly Disagree,Slightly Disagree,Somewhat Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,HighSESManipulation
2021-09-08 20:44:57,2021-09-08 20:46:08,IP Address,24.210.22.161,53,70,False,2021-09-15 20:46:10,R_T0CsYWJeVHTwWdj,,,,,,,anonymous,EN,Yes,21,Female,,White,,Evangelical Christian,,Slight Liberal,"$60,000 to $69,999",High School Diploma,Some College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LowSESManipulation
2021-09-16 12:11:04,2021-09-16 12:28:14,IP Address,67.219.193.195,100,1030,True,2021-09-16 12:28:15,R_2xOUOzMwAiEvjrG,,,,,42.272003173828125,-84.96379852294921875,anonymous,EN,Yes,35,Female,,White,,Other Christian,,Slight Conservative,"$150,000 or more",Master's Degree,Associate's Degree,,,,,,CEO's of Large Companies,Physicians in a specialty,Sports Stars,5,A,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Moderately Disagree,Moderately Disagree,Slightly Agree,Slightly Agree,Neutral,Neutral,Slightly Disagree,Neutral,70,70,61,75,50,70,75,65,50,C,Slightly Agree,Moderately Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Neutral,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Slightly Favor,Neutral,Neutral,Neutral,Slightly Favor,Slightly Favor,Slightly Favor,Neutral,Neutral,Slightly Oppose,Neutral,Slightly Favor,Slightly Favor,Slightly Favor,Neutral,Neutral,Slightly Favor,LowSESManipulation
2021-09-16 12:19:17,2021-09-16 12:30:40,IP Address,173.88.66.206,100,683,True,2021-09-16 12:30:40,R_3CNvmXDBfXyShxx,,,,,39.7183990478515625,-82.6072998046875,anonymous,EN,Yes,18,Female,,White,,Catholic,,Neutral,"$70,000 to $79,999",Some College,Some College,grandma,brother,mom,4,A,,,,,,Neutral,Moderately Disagree,Slightly Agree,Slightly Disagree,Moderately Disagree,Strongly Agree,Neutral,Neutral,Slightly Disagree,Slightly Agree,Slightly Agree,Moderately Disagree,Moderately Disagree,Slightly Agree,Moderately Disagree,Slightly Disagree,Neutral,Slightly Agree,Neutral,94,93,89,94,92,85,74,44,54,C,Neutral,Slightly Agree,Slightly Agree,Moderately Agree,Slightly Agree,Slightly Disagree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Moderately Agree,Neutral,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Neutral,Somewhat Favor,Strongly Favor,Neutral,Strongly Favor,Neutral,Slightly Favor,Neutral,Slightly Oppose,Neutral,Neutral,Neutral,Slightly Favor,Slightly Oppose,Neutral,Neutral,Slightly Favor,HighSESManipulation
2021-09-09 13:40:27,2021-09-09 18:57:56,IP Address,192.182.168.230,78,19049,False,2021-09-16 18:57:57,R_2ScaCtxRIrOl6yy,,,,,,,anonymous,EN,Yes,18,Male,,White,,Agnostic,,Neutral,"$60,000 to $69,999",Some College,Bachelor's Degree,Homeless,Rudders,Crackheads,9,D,,,,,,Slightly Agree,Neutral,Neutral,Slightly Disagree,Moderately Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighSESManipulation
2021-09-18 12:41:55,2021-09-18 12:55:33,IP Address,132.235.96.2,100,818,True,2021-09-18 12:55:34,R_2pKaFT3zQiRWSop,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,19,Female,,White,,Judaism,,Moderate Liberal,"$40,000 to $49,999",Bachelor's Degree,Master's Degree,black people,jewish people,"females ",3,A,,,,,,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Slightly Agree,Moderately Agree,Strongly Disagree,Neutral,Neutral,Moderately Disagree,Strongly Disagree,Slightly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,100,100,100,99,100,100,97,84,79,C,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Neutral,Strongly Disagree,Neutral,Moderately Disagree,Strongly Agree,Slightly Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Moderately Agree,Moderately Disagree,Strongly Disagree,Strongly Oppose,Strongly Oppose,Neutral,Neutral,Slightly Oppose,Somewhat Oppose,Strongly Favor,Neutral,Slightly Oppose,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Favor,Neutral,Neutral,Strongly Favor,Somewhat Favor,HighSESManipulation
2021-09-18 15:28:33,2021-09-18 15:35:21,IP Address,108.197.53.49,100,408,True,2021-09-18 15:35:22,R_1dFFQxLeJc8PaBu,,,,,39.9452056884765625,-82.9738006591796875,anonymous,EN,Yes,21,Female,,"White,Black or African American",,Other Christian,,Moderate Liberal,"$80,000 to $89,999",Some College,Some College,,,,,,CEO's,Surgeons,Political Officers,2,A,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Moderately Agree,Slightly Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,91,83,100,100,100,100,100,100,100,C,Slightly Disagree,Slightly Disagree,Moderately Agree,Slightly Disagree,Strongly Agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Neutral,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-09-18 16:06:33,2021-09-18 16:20:42,IP Address,174.212.167.234,100,848,True,2021-09-18 16:20:42,R_2tm61fP70rMxz1j,,,,,36.2129974365234375,-86.3011016845703125,anonymous,EN,Yes,19,Female,,White,,Protestant Christian,,Moderate Conservative,"$70,000 to $79,999",Bachelor's Degree,Associate's Degree,"People living on the streets ","People living in 3rd world countries in poverty  ",People with limited food/water,7,A,,,,,,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Neutral,Slightly Agree,Moderately Disagree,Strongly Disagree,Slightly Agree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,Neutral,80,80,70,90,80,80,80,80,80,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Slightly Disagree,Neutral,Neutral,Slightly Agree,Slightly Disagree,Neutral,Slightly Disagree,Slightly Agree,Neutral,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Oppose,Strongly Oppose,Somewhat Oppose,Slightly Oppose,Slightly Oppose,Neutral,Somewhat Favor,Slightly Oppose,Somewhat Oppose,Somewhat Oppose,Somewhat Oppose,Slightly Favor,Slightly Favor,Slightly Oppose,Slightly Oppose,Slightly Oppose,Slightly Favor,HighSESManipulation
2021-09-18 17:54:25,2021-09-18 18:03:07,IP Address,74.62.105.90,100,521,True,2021-09-18 18:03:07,R_1DRWR7YMw7N2MIP,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,19,Female,,White,,Catholic,,Slight Conservative,"$100,000 to $149,999",Master's Degree,Master's Degree,,,,,,CEO's,Presidents,Old generational wealth,5,A,Moderately Agree,Moderately Agree,Moderately Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neutral,Moderately Disagree,Moderately Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,100,100,100,100,100,100,100,100,90,C,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Slightly Disagree,Neutral,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Slightly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
2021-09-19 08:18:37,2021-09-19 08:28:47,IP Address,75.188.98.51,100,609,True,2021-09-19 08:28:47,R_3q9iLirpJzOYZam,,,,,39.3184051513671875,-82.1011962890625,anonymous,EN,Yes,19,Female,,White,,Prefer Not To Answer,,Extreme Liberal,"$20,000 to $29,999",Some College,High School Diploma,,,,,,"Millionaires ",Celebrities,Doctors,6,A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,99,50,97,10,10,100,50,50,50,C,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Slightly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Slightly Disagree,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Oppose,Strongly Favor,Strongly Favor,Strongly Favor,Strongly Favor,Slightly Favor,LowSESManipulation
