"","Age","Gender","Race","Religion","Politics","SES","Education","Response_1","Response_2","Response_3","Rank","RGP_1","RGP_2","RGP_3","RGP_4","RGP_5","RGP_6","RGP_7","RGP_8","RGP_9","Condition","sdo_mean","wps_mean","wg_mean","mrs_mean","cse_total","cse_private","cse_public","cse_membership","cse_identity"
"117","20","Female","White","Catholic",3,11,"Bachelor's Degree","Homeless","Hard labor ","Unemployed ","7","100","90","100","100","100","100","100","100","90","HighSESManipulation",1,6.8,6,1,2.75,3,2.75,3.5,1.75
"118","18","Female","White","Agnostic",2,6,"Associate's Degree","Homeless people","Sex Workers","Migrant Workers","6","95","81","92","71","92","92","86","97","97","HighSESManipulation",1.6875,6.4,5.6,1.16666666666667,3.25,3,3.75,4,2.25
"119","19","Trans-Male","White","Atheist",1,5,"High School Diploma","Cisgender identities","White people","Billionaires/Rich people","6","50","50","50","50","50","50","50","50","50","LowSESManipulation",2.5625,7,3.6,1.16666666666667,3.875,3.25,3.25,5.5,3.5
"120","18","Female","White","Evangelical Christian",7,4,"Bachelor's Degree","Homeless","Single parents","Elderly","5","95","95","95","90","90","90","90","85","80","HighSESManipulation",2.25,4,5.6,2.5,4.1875,4,5.25,4.5,3
"121","20","Male","White","Spiritual",2,6,"Some College","People who have inherited generational wealth through cars, homes, land, college funds, etc. ","People who have jobs that require little to no hard work, that don't work full time to live lavishly, and who can purchase whatever they want without thinking about the cost","People who come from generations of highly educated family members with careers like Doctors, Lawyers, etc.","5","100","100","90","90","90","100","100","100","100","LowSESManipulation",1,5.6,6,1.16666666666667,4.125,3.75,3.5,6.5,2.75
"122","18","Female","White","Agnostic",3,7,"Some College","homeless","those who have a home or roof over their heads due to unemployment when fully capable of working","single people with low paying jobs with multiple kids ","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.375,6.8,5.8,1.16666666666667,4.3125,6,5.5,4,1.75
"123","25","Female","White","Spiritual",2,10,"High School Diploma","Politicians","Those with generational wealth","Doctors","3","61","47","62","43","64","71","62","65","65","LowSESManipulation",1.125,6.4,5.4,1.33333333333333,4,3.75,5.75,4.25,2.25
"124","43","Female","White","Catholic",5,7,"Some College","physicians","engineers","scientists","3","71","71","72","72","72","72","73","73","73","LowSESManipulation",1.4375,4,3.4,1.16666666666667,4.5,4.75,4.5,4.75,4
"125","20","Female","White","Catholic",8,10,"High School Diploma","housekeeping","slaves","working class","5","50","51","50","50","50","50","50","49","50","HighSESManipulation",4.0625,4.6,3,4.16666666666667,3.75,4.25,3.75,3.5,3.5
"126","","Female","White","Prefer Not To Answer",2,3,"Master's Degree","Drug addiction ","Close minded ","Doesn’t try to be anyone ","6","99","80","99","70","99","99","95","98","97","HighSESManipulation",1.75,6.4,6.4,2,4,4.25,4.5,3.75,3.5
"127","18","Female","White","Prefer Not To Answer",2,10,"Some College","Billionares","CEOs","Lawyers","6","100","75","100","50","100","100","85","100","100","LowSESManipulation",1.5625,6.8,3.6,1.16666666666667,4.375,5,5.75,4,2.75
"128","21","Female","White","Atheist",2,11,"High School Diploma","Immigrants ","Inmates ","Homeless","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.6875,6.4,4.6,1,4.75,5,5.25,4.75,4
"129","18","Female","White","Catholic",3,12,"Bachelor's Degree","White, Christian Males","Rich people","Politicians","4","100","71","100","50","80","98","92","27","90","LowSESManipulation",2.5625,6.8,4.8,2,5,5.25,5.5,4.75,4.5
"130","18","Female","White","Atheist",5,7,"Bachelor's Degree","celebrities","millionaires","political figures","3","50","50","50","50","49","50","50","50","50","LowSESManipulation",2.25,5.2,2.8,3.16666666666667,4.6875,6.25,5.75,4.75,2
"131","18","Female","White","Other Christian",3,9,"Bachelor's Degree","the homeless","highschool dropouts ","the disabled","7","100","100","100","91","100","100","100","99","100","HighSESManipulation",1.8125,6.2,5.6,1.83333333333333,4.625,5.5,5.25,5.5,2.25
"132","18","Female","White","Atheist",5,11,"Bachelor's Degree","Presidents, Dictators, Leaders","Justices, Judges","Politicians","5","85","90","80","85","85","85","90","85","85","LowSESManipulation",2.375,5.4,5.4,1.66666666666667,5.5,6,6,5.75,4.25
"133","33","Female","White","Prefer Not To Answer",5,10,"High School Diploma","homeless","janitor","not sure","5","83","83","83","84","85","85","85","85","86","HighSESManipulation",4,4,4,4,4,4,4,4,4
"134","19","Female","White","Atheist",1,7,"Bachelor's Degree","Cis Men ","White men ","Billionaires, those with a lot of money and privilege ","6","100","35","100","17","100","100","48","100","96","LowSESManipulation",1,5.8,7,1,2.8125,2.25,3.25,4.5,1.25
"135","20","Male","White","Islam",3,4,"High School Diploma","Homeless","Prisoners","Unemployed","4","100","91","100","50","45","100","80","100","100","HighSESManipulation",3.4375,5.2,5.2,2.66666666666667,3.9375,4.75,5,4,2
"136","34","Female","White","Other Christian",4,9,"High School Diploma","President","Celebrities","CEO’s","3","70","60","40","70","70","70","70","30","31","LowSESManipulation",2.5,7,5.4,1.16666666666667,4.0625,4.75,5,5.5,1
"137","18","Female","White","Agnostic",4,10,"Master's Degree","people with disabilities ","immigrants","children ","8","81","77","74","42","74","89","81","95","86","HighSESManipulation",1.75,6.6,5,2.16666666666667,3.6875,4.25,5,3.5,2
"138","18","Female","White","Other Christian",5,10,"Master's Degree","Doctors","Government jobs","Scientists ","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.625,3.6,6.8,2.5,5.3125,5,6,5.75,4.5
"139","18","Female","White","Agnostic",1,8,"Associate's Degree","people of color","lgbt people","women","3","100","95","100","95","100","100","72","100","100","HighSESManipulation",2.8125,6.8,7,1,4.1875,3.25,5.5,5,3
"140","28","Female","White","Spiritual",3,5,"Some College","Hispanics","African Americans","Pacific Islanders","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.3125,2.6,3.8,1,3.25,3.5,4,4.25,1.25
"141","18","Female","White","Other Christian",7,1,"High School Diploma","President","Billionaires","Actors","2","57","63","57","66","56","58","62","57","52","LowSESManipulation",3.125,2.6,2.6,3.83333333333333,4,5,4.75,4.25,2
"142","18","Female","White","Agnostic",2,6,"High School Diploma","Those who are unable to afford proper housing","Those who are forced to commit crimes to live a comfortable life","Those who must work many jobs to earn a reputible income","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.375,6,4.4,1,3.625,4.75,5.5,3.25,1
"143","18","Female","White","Prefer Not To Answer",5,7,"Master's Degree","homeless","people in poor areas of third world countries","garbage men","7","67","55","55","56","55","89","89","51","65","HighSESManipulation",1.625,6.2,5.6,1.83333333333333,4.75,5,4,5.75,4.25
"144","18","Female","White","Spiritual",3,7,"Bachelor's Degree","Politicians ","Professional Athletes","Kardashians / Jenners","3","50","40","50","20","50","50","50","50","50","LowSESManipulation",1.8125,6.2,6.2,1.66666666666667,4,4.75,5.25,4,2
"145","21","Female","White","Protestant Christian",3,8,"Some College","Felons that just got out of prison on parole ","A homeless person ","Strippers trying to take care of their kids","3","91","92","92","80","92","92","91","92","89","HighSESManipulation",1.9375,5.4,3.4,2.16666666666667,4.5,5.75,4.25,6,2
"146","32","Female","White","Spiritual",5,5,"Less Than High School","White Males","Conservatives","Politicians","4","85","85","75","10","50","","100","100","100","LowSESManipulation",1.9375,5,2.8,1,3.9375,4.25,4.25,4,3.25
"147","18","Male","White","Other Christian",3,10,"Master's Degree","Homeless people in Seattle, WA.","Children stuck in the adoption/foster care system.","Those being evicted from homes due to Covid-19.","6","90","80","90","70","95","100","60","95","50","HighSESManipulation",1,6.6,6.8,1.16666666666667,3.75,4,3.75,4.75,2.5
"148","19","Female","White","Spiritual",4,1,"High School Diploma","Minorities","Low income / impoverished citizens","Children ","2","97","56","98","45","97","99","87","98","95","HighSESManipulation",1.9375,5.8,6.2,1.33333333333333,3.5625,3.5,4.25,3.25,3.25
"149","18","Female","White","Other Christian",7,7,"Bachelor's Degree","President ","Millionaires","Very successful business owners","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.5,3,3.4,4.16666666666667,4.6875,5.25,5.25,5,3.25
"150","19","Female","White","Prefer Not To Answer",5,7,"Bachelor's Degree","I would say people that don't work and only work like 3 times a wek ","people that are sick and cant work and make money ","people that are not capably of working and cant work ","2","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.875,7,3.4,2,5.5625,7,7,7,1.25
"151","19","Female","White","Other Christian",7,11,"Bachelor's Degree","One example of people at the top of this ladder is the wealthy.","Another example would be high authorities (ex.. president, emergency responders, judges, etc..)","The last example could be highly succeeding people in life. (Mark Zuckerburg, Elon Musk, etc..)","5","80","80","80","80","80","50","80","80","80","LowSESManipulation",3,5.4,3.8,2.66666666666667,4.25,5,5.25,4.5,2.25
"152","21","Male","White","Prefer Not To Answer",5,9,"Some College","jeff besos"," mark zuck","elon musk","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.1875,2.2,5,2,5.8125,5.75,6.25,6.25,5
"153","18","Female","White","Other Christian",5,12,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Blacks/Hispanics ","Transgenders","LGBTQ community ","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.75,5.8,5.2,1,4.375,6.5,5.25,4.75,1
"154","18","Female","White","Catholic",3,10,"Associate's Degree","billionaires ","politicians ","large business owners","5","100","86","100","86","100","100","100","100","100","LowSESManipulation",2.3125,5.8,6.2,2,3.5625,3.5,2.75,3.5,4.5
"155","19","Male","White","Other Christian",7,10,"Some College","Homeless ","People suffering from poverty","People without a job","7","50","50","50","50","50","50","50","50","50","HighSESManipulation",2.5,3.4,4.8,2.5,4.0625,4,3.5,4.75,4
"156","22","Female","White","Spiritual",1,8,"Master's Degree","non-white people","people without financial support","people without access to medical care","6","100","19","100","3","100","100","25","100","55","HighSESManipulation",1.3125,7,6.2,1,4.4375,5.75,6.25,4.5,1.25
"157","Abigail Rowley","Female","White","Other Christian",3,12,"Bachelor's Degree","Educated white men","Highly educated white women","People who come from generational wealth","8","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.5,5.8,5.2,1.83333333333333,5.625,7,7,6.75,1.75
"158","19","Female","White","Other Christian",4,2,"Associate's Degree","people on poverty ","people with minimum wage jobs ","people soley living off wealth fare ","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.125,6.4,5.2,1.16666666666667,3.8125,4,4,4,3.25
"159","18","Female","White","Catholic",7,4,"Bachelor's Degree","poor","uneducated","not hardworking","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",1.25,6,4.4,1,6.0625,7,5,6.75,5.5
"160","18","Female","White","Catholic",8,12,"Bachelor's Degree","Lebron James ","Kylie Jenner ","Donald Trump","3","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.3125,3.6,4.8,3.66666666666667,4.375,5.25,4.25,4.75,3.25
"161","19","Female","White","Atheist",2,9,"Bachelor's Degree","Homeless people or people living below the poverty line.","Immigrants ","People with mental/developmental disabilities. ","7","90","50","","35","90","90","70","81","75","HighSESManipulation",1.75,6.4,6.4,1.33333333333333,3.3125,3.5,4.25,3.75,1.75
"162","18","Female","White","Evangelical Christian",7,12,"Associate's Degree","President","Politics","Large Company Owners","7","70","70","70","90","70","60","70","60","0","LowSESManipulation",2.5,1.6,1.4,5.66666666666667,3.9375,5.25,5,4,1.5
"163","","Female","White","Other Christian",2,10,"Some College","Homeless people","college students","teen mothers","8","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.5625,6.8,6.2,1.5,4.125,4,4.5,5.5,2.5
"164","19","Female","White","Other Christian",8,6,"Bachelor's Degree","homeless","immigrants","addicts","7","100","100","70","100","100","100","100","95","95","HighSESManipulation",4.4375,4.6,4.6,3.33333333333333,4,4,4,4,4
"165","19","Female","White","Spiritual",1,11,"Some College","Minorities in the US, third world countries","Orphans who inherently have nothing","Communities with no opportunity","5","100","100","100","90","100","100","90","100","80","HighSESManipulation",1,6.8,7,1,3.8125,3.25,4,4,4
"166","19","Female","White","Catholic",5,7,"Associate's Degree","extremely rich and famous people","President ","Influencers","5","71","66","66","69","75","71","75","73","76","LowSESManipulation",2.33333333333333,3.6,5.4,3,3.9375,4.25,4.5,4.25,2.75
"167","18","Female","White","Catholic",8,10,"Master's Degree","actors/stars","politicians ","athletes ","4","100","100","100","99","100","87","100","100","85","LowSESManipulation",2.9375,1.6,1.2,3.66666666666667,4.6875,7,3.75,7,1
"168","19","Female","White","Spiritual",3,6,"High School Diploma","Physically Disabled Adults","Mentally Disabled Adults","Minorities","5","100","60","100","19","100","99","99","100","100","HighSESManipulation",1,6,5.8,1,4.5,5,6.25,5,1.75
"169","18","Female","White","Evangelical Christian",3,4,"Some College","royalty ","upper class ","middle class","5","100","70","100","100","100","100","100","100","63","LowSESManipulation",2.6875,6.4,6.8,1.16666666666667,4,3.75,5.75,3.5,3
"170","19","Female","White","Other Christian",5,9,"Some College","Politicians","Top Business CEO's (Zuckerberg)","Celebrities","6","80","83","84","98","97","84","85","92","79","LowSESManipulation",2.6875,5,4,3.33333333333333,4.6875,5.5,5.25,4.75,3.25
"171","18","Female","White","Catholic",3,3,"High School Diploma","President ","Rich","People who have any kind of power ","9","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.3125,7,7,1.83333333333333,5.3125,4,6,4.75,6.5
"172","28","Non-Binary","White","Spiritual",3,9,"Master's Degree","Immigrants or minority groups ","Lack of education: high school or above","mental or chronic illness ","6","100","31","100","13","89","100","27","100","100","HighSESManipulation",1.25,7,7,1,4.5625,3.75,6.5,5,3
"173","18","Female","White","Protestant Christian",3,10,"Bachelor's Degree","Multimillionares","Large corporate CEOs","Celebrities","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.1875,7,2.8,1.5,4.4375,5,5,4.25,3.5
"174","18","Female","White","Prefer Not To Answer",4,10,"Some College","white ","men","old","6","80","50","100","10","100","80","70","100","100","LowSESManipulation",1.625,6.4,6.2,1,4.5625,4.5,5,4.25,4.5
"175","19","Female","White","Catholic",5,8,"Bachelor's Degree","The president ","rich people ","athletes ","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.0625,4.2,3.6,2.83333333333333,3.8125,4,3.75,4,3.5
"176","18","Female","White","Prefer Not To Answer",5,4,"Some College","rich","white","privlidge","6","100","100","100","100","100","100","100","100","100","HighSESManipulation",4.3125,3.8,4.8,3.33333333333333,4.5,5,4.75,4.75,3.5
"177","19","Female","White","Catholic",7,7,"Bachelor's Degree","people with disabilities","people with low education ","people that don’t have the same opportunities due to their race","6","90","90","90","90","90","90","90","75","75","HighSESManipulation",3,7,5,2.66666666666667,4.875,6.25,3.5,5.75,4
"178","18","Female","White","Protestant Christian",4,9,"High School Diploma","Celebrities","Politicians","Big company owners (ex: Bill Gates, Jeff Bezos, etc) ","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.8125,4,4.8,1.83333333333333,3.8125,4,4,4.25,3
"179","18","Female","White","Protestant Christian",8,12,"Associate's Degree","homeless people","people who are unemployed","people living in countries with very little money or freedom","9","100","100","100","100","85","100","100","14","55","HighSESManipulation",2.6875,5,3.8,1.5,5.3125,7,6.25,6.5,1.5
"180","43","Female","White","non-religious ",3,5,"High School Diploma","Elon Musk","Mark Zuckerberg","Barack Obama","3","92","91","83","83","92","91","91","91","91","LowSESManipulation",1.5625,3.8,2.6,1.16666666666667,4.75,5,5.25,6,2.75
"181","18","Female","White","Catholic",7,10,"Bachelor's Degree","homeless","jobless","people who are starving and have no food","7","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.625,5.6,2,2.33333333333333,4.625,5,4.5,5,4
"182","20","Female","White","Catholic",7,10,"Bachelor's Degree","The president ","Very wealthy people","Authorities ","5","100","100","100","100","100","100","100","100","85","LowSESManipulation",2.8125,5.4,4,2,5.25,6.5,6,6.25,2.25
"183","19","Female","White","Other Christian",5,12,"Master's Degree","LGBTQ","Black Americans","Foreigners","5","100","100","100","93","100","100","100","100","100","HighSESManipulation",2.125,5,5.2,2.16666666666667,5.1875,5.75,5.75,5.25,4
"184","18","Male","White","Other Christian",8,1,"High School Diploma","politicians, ","large business owners, ","government officials ","2","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.8125,3,3.8,3.66666666666667,3.6875,4.25,4,4,2.5
"185","18","Male","White","Atheist",5,9,"Master's Degree","addicts","people who are chronic spenders","people with debilitating physical and mental states","4","100","100","100","100","100","100","100","100","100","HighSESManipulation",2.3125,4.4,1,1,3.5625,4.75,4.5,4,1
"186","18","Female","White","Non-Religous ",3,2,"Bachelor's Degree","CEO's and business people ","Those with a PHD in some sort of healthcare position ","Graduates who pursued engineering  ","3","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.625,6.2,6.4,1,5,5.25,5,5.25,4.5
"187","18","Female","White","Judaism",3,6,"Master's Degree","Bill Gates","President Joe Biden","Trump Family","6","","50","75","75","100","100","64","74","73","LowSESManipulation",1.25,6.6,6.4,1.5,4.75,5,5.25,5,3.75
"188","19","Female","White","Catholic",7,11,"Bachelor's Degree","1","2","3","2","100","100","100","100","100","100","100","100","100","HighSESManipulation",4.0625,4,4,4,4,4,4,4,4
"189","","Male","White","Catholic",7,9,"Master's Degree","Elon Musk","Special forces","Jeff bezos","7","100","100","21","100","100","91","100","100","100","LowSESManipulation",3.3125,4.4,1.2,3.5,5.5,6.75,5.5,6.5,3.25
"190","21","Female","White","Protestant Christian",8,5,"High School Diploma","drug addicts","homeless people","people living solely off the government","5","100","100","100","100","100","83","100","100","100","HighSESManipulation",1.625,2.2,1,2.33333333333333,5.375,7,6,7,1.5
"191","37","Male","White","Protestant Christian",7,11,"Bachelor's Degree","CEOs of large conglomerates (food, pharma, media)","Hyper-wealthy ","Politicians in influential positions ","7","90","90","90","90","90","70","90","90","85","LowSESManipulation",3.0625,4,1.2,2.33333333333333,3.375,4,3.5,4,2
"192","","Non-Binary","White","Spiritual",2,7,"Some College","Fast food employees","Factory workers","Retail workers","2","90","40","69","25","50","100","25","65","65","HighSESManipulation",1.6875,6.6,7,1.16666666666667,2.875,1.5,5.25,3.5,1.25
"193","18","Non-Binary","White","Agnostic",2,9,"Bachelor's Degree","the homeless","unemployed people","criminals/those in prison","8","80","80","80","80","80","85","75","85","80","HighSESManipulation",1.75,6.8,6,1.16666666666667,4.375,4.25,6.25,4,3
"194","29","Female","White","Atheist",1,6,"High School Diploma","I think sis gendered white males will sadly always be on top","White families with high socio economic backgrounds","Families with higher education backgrounds from both parents","4","100","22","100","30","100","100","100","100","100","LowSESManipulation",1,5.8,7,1,2.125,1,4,1.75,1.75
"195","51","Female","White","Protestant Christian",8,11,"High School Diploma","homeless","uneducated","lazy","9","82","80","75","85","81","30","65","27","22","HighSESManipulation",1.875,4,3.2,3.33333333333333,5.75,7,6.25,7,2.75
"196","22","Male","White","Prefer Not To Answer",4,3,"Master's Degree","US Government","Elon Musk","Jeff Bezos","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",3.25,2.6,1.2,2.16666666666667,3.625,4.75,4.75,4,1
"197","18","Female","White","Agnostic",5,10,"Associate's Degree","unemployed","certain racial groups some take as a threat ","homless","6","87","79","55","70","75","81","82","90","39","HighSESManipulation",1.8125,4.6,4.8,2,5,5.75,5.5,5.75,3
"198","18","Female","White","Catholic",6,10,"Doctoral or Professional Degree (i.e., Ph.D., M.D., J.D.","Top political candidates ","Successful bussinessmen/women","Professional athletes","7","100","100","100","100","100","100","100","100","100","LowSESManipulation",1.5,4.2,3.8,1.16666666666667,5.5625,7,5.75,7,2.5
"199","39","Female","White","Agnostic",5,11,"High School Diploma","homeless ","people with impaired mental ability","addicts","9","100","100","100","58","100","100","100","100","52","HighSESManipulation",4,6.4,5.6,2.16666666666667,4.25,3.25,4.5,4.75,4.5
"200","35","Female","White","Spiritual",3,2,"High School Diploma","Hollywood Actors","TECH Companies","Google","2","100","100","100","50","100","100","100","100","100","LowSESManipulation",1,6,5,2.5,3.5,5,4.5,3.5,1
"201","18","Female","White","Other Christian",4,12,"Master's Degree","homeless people","highschool dropouts","immigrants","6","100","70","100","67","100","100","61","100","100","HighSESManipulation",2.75,5.6,6.8,1,3.75,4,4.5,4.25,2.25
"202","18","Female","White","Other Christian",4,12,"Master's Degree","celeberties","millionaires","politicians","6","100","70","100","64","100","100","73","100","100","LowSESManipulation",1.9375,5.4,7,1.16666666666667,4.125,3.75,5.5,3.75,3.5
"203","18","Female","White","Prefer Not To Answer",5,9,"Associate's Degree","People in poverty","Poor class","Mid-Lower class","4","100","100","100","100","100","100","100","100","100","HighSESManipulation",3.8125,5.4,5.2,2.5,5.0625,5.75,4.75,5.25,4.5
"204","19","Male","White","Atheist",3,8,"Associate's Degree","Politicians ","Celebrities  ","Wealthy individuals ","3","90","58","66","46","63","99","78","72","92","LowSESManipulation",2.5,6.8,5.8,2.5,3.3125,4,3.5,4,1.75
"205","19","Female","White","Prefer Not To Answer",7,4,"Master's Degree","people who are hooked on opiodes/drugs","people who have no self respect or respect for others","people who have no job or money","10","100","99","95","91","96","97","97","99","100","HighSESManipulation",4.25,5.8,3,3.66666666666667,4.1875,4,4.25,4.5,4
"206","41","Male","White","Agnostic",5,11,"Bachelor's Degree","Poor","People of Color","Gender","9","90","90","90","90","90","90","90","90","90","HighSESManipulation",1.125,5.6,3.6,2,4.125,4.5,5,5,2
"207","22","Female","White","Other Christian",3,11,"Bachelor's Degree","The President of The United States","famous actors","lawyers or doctors","5","85","90","63","98","100","98","99","96","88","LowSESManipulation",1.1875,6.6,6.4,2.16666666666667,5.625,6,6.5,6.5,3.5
"208","37","Female","White","Protestant Christian",6,11,"High School Diploma","Wealthy ","Highly educated, high IQ. ","Those born into wealth and fam. ","2","100","98","76","100","76","77","100","48","16","LowSESManipulation",1.125,3,6,2.33333333333333,5.4375,6.75,5.5,6.25,3.25
"209","18","Female","White","Spiritual/Agnostic + believe in certain aspects of Hinduism and Buddhism ",2,12,"High School Diploma","Homeless people, disabled people, undocumented immigrants","documented immigrants from South America, people raised in foster care, people with prolonged drug addictions","People born in low-income areas, teen mothers, elderly","8","50","30","50","14","50","50","50","50","50","HighSESManipulation",2.125,6.2,6.2,2,2.875,4.25,3,2.75,1.5
"210","27","Female","White","Other Christian",5,5,"Associate's Degree","professional athletes","movie stars","very popular singers","3","91","95","81","92","92","94","94","94","90","LowSESManipulation",1.125,5.2,4.6,1.66666666666667,5.5,6.25,5.75,6,4
"211","18","Female","White","Prefer Not To Answer",3,6,"Some College","Drug Addict","Drug Dealer","A homeless person","6","95","78","70","71","71","96","89","72","71","HighSESManipulation",2.5625,5.6,5.4,2,4.1875,4,4.25,5.5,3
"212","19","Male","White","Catholic",7,12,"Master's Degree","Government leaders","elites","celebrities","4","100","100","100","100","100","51","100","65","51","LowSESManipulation",4.5,1.6,1,4,5.375,7,4,6.5,4
"213","20","Female","White","Regular Christianity ",5,11,"Bachelor's Degree","Poor","Less than high school diploma ","Waitress","9","80","89","55","100","24","16","59","3","0","HighSESManipulation",1.375,5.6,6.4,2.5,4.375,3.75,5,5,3.75
"214","18","Female","White","Evangelical Christian",8,4,"High School Diploma","Government Officials","Wealthy People","Famous People","5","100","100","100","100","100","100","100","100","100","LowSESManipulation",4.0625,3.8,2.2,5.83333333333333,4.6875,7,3.75,7,1
"215","18","Female","White","Evangelical Christian",8,4,"High School Diploma","Government Officials ","Famous People","Wealthy People","5","100","100","100","100","100","100","100","100","100","HighSESManipulation",4.0625,2.8,2.8,6,4.75,5.5,3.25,7,3.25
"216","19","Female","White","Atheist",2,9,"Bachelor's Degree","immigrants","minorities ","people living below the poverty line or homeless ","7","90","75","90","66","90","90","80","89","90","LowSESManipulation",2.1875,6.6,5.8,1.33333333333333,4,3.75,5.25,4.75,2.25
"217","19","Female","White","Other Christian",7,12,"Bachelor's Degree","royalty ","president ","millionares ","6","40","50","50","50","50","50","50","50","50","LowSESManipulation",4.0625,2,2.6,4.16666666666667,3.8125,4.75,3,5,2.5
"218","18","Female","White","Evangelical Christian",2,4,"High School Diploma","People with no high school diploma","People who choose not to work ","People who don't work to better themselves ","5","60","70","60","90","90","50","80","30","30","HighSESManipulation",3.0625,3.8,3,5.83333333333333,4.375,5.5,3.75,7,1.25
"219","18","Female","White","Other Christian",8,11,"Some College","People in poverty","Lower class ","people of a different race other than white ","7","70","70","50","100","71","40","71","51","51","HighSESManipulation",1.5625,3.6,4.6,3.83333333333333,5.4375,7,4.5,6.75,3.5
"220","18","Female","White","Evangelical Christian",6,9,"Bachelor's Degree","$100,000 + income ","elite ","college educated ","4","100","100","100","100","100","100","100","100","92","LowSESManipulation",1.5625,5.6,4.2,1,4.75,5.25,5.5,4.75,3.5
"221","","Female","White","Islam",7,10,"Master's Degree","famous people","doctors ","business owners","4","100","100","100","100","100","100","100","100","100","LowSESManipulation",2.5,4,4,4,4,4,4,4,4
"222","","Male","White","Protestant Christian",7,11,"Master's Degree","African Americans","Homeless people","American Indians","5","100","100","100","100","100","40","100","80","80","HighSESManipulation",2.1875,4,2.2,1.83333333333333,5.1875,6.25,6,6.75,1.75
"223","19","Female","White","Catholic",2,10,"Bachelor's Degree","Miillionares","Celebrities","President/ Politicians","5","40","41","39","57","40","42","54","20","20","LowSESManipulation",1.25,6,4.6,1.5,4.5625,5.25,5,5.25,2.75
"224","19","Female","White","Catholic",7,6,"High School Diploma","celebrities","jeff besos","large company owners","3","85","85","85","85","85","85","85","85","","LowSESManipulation",3.25,3.6,1.8,3.83333333333333,4.8125,6.5,5.25,6.5,1
"225","18 ","Female","White","Protestant Christian",4,9,"High School Diploma","Homeless people","People with income at poverty level","Those who did not receive a high school diploma and were not given the opportunity to attend college","1","100","100","100","82","100","100","100","100","100","HighSESManipulation",2.9375,3.4,4.6,3,4.0625,4.75,4,4,3.5
"226","21","Female","White","Spiritual",5,12,"Master's Degree","The Kardashians","Jeff Bezos","Elon Musk","4","94","83","92","24","99","100","56","65","95","LowSESManipulation",3,6.6,5,2.33333333333333,3.6875,2.75,6,2.75,3.25
"227","19","Female","White","Other Christian",2,11,"Master's Degree","history of rich family/ trust fund","business owners","attended ivy league schools","6","100","8","100","50","100","100","100","100","100","LowSESManipulation",2.5625,6.6,7,2,4.25,3.25,5,4.75,4
"228","18","Female","White","Atheist",3,8,"Associate's Degree","English royalty","The Kardashians ","Elon musk ","3","100","50","100","65","100","100","100","100","100","LowSESManipulation",3.5625,6,5,1.16666666666667,3.8125,3.75,4.5,4,3
"229","19","Female","White","Other Christian",2,2,"Associate's Degree","Homeless, living in poverty or on the streets","Different under looked cultures and ethnicities that have disadvantages based on the color of their skin","Addicts, in debt","8","100","70","85","10","62","100","53","46","62","HighSESManipulation",1.8,6.2,6,1,3.73333333333333,3.33333333333333,4.5,3.75,3.25
"230","19 years old","Female","White","Other Christian",8,4,"Associate's Degree","Maids","hairdressers","Mcdonald's worker","4","100","100","100","100","100","93","100","100","100","HighSESManipulation",2.6875,5.4,4.6,1,3.25,4,4.25,3.75,1
"231","19","Female","White","Agnostic",2,10,"Bachelor's Degree","Jeff Bezos","Elon Musk","Politicians","4","99","70","95","47","50","91","70","50","50","LowSESManipulation",1.375,7,5.8,1,4.625,5.5,5.5,4.5,3
"232","19","Male","White","Prefer Not To Answer",4,11,"Bachelor's Degree","Homeless ","immigrants","People in poverty","8","100","100","100","71","100","100","100","100","100","HighSESManipulation",1.125,4,5.2,1,3.25,3.75,3.5,4.75,1
"233","18","Female","White","Agnostic",1,5,"Some College","People with money, power, influence","people with a private education","people born with status ","4","89","84","88","88","88","97","88","96","97","LowSESManipulation",1.0625,6.6,6.6,1,3.8125,3.25,4.75,4,3.25
"234","18","Female","White","Spiritual",3,11,"Some College","People who do not try to go out and get jobs ","murders ","drug dealers","5","100","95","100","88","100","100","99","100","100","HighSESManipulation",1.875,5.6,6.4,1.33333333333333,3.8125,4.5,4.25,4.25,2.25
